Name; Height (Inches); Height(Feet-Inches); Weight;Height(Meters);Weight(Kg)
Isaiah Wilson;74; 6-2;175;1,8796;79,36507937
Ishmael Smith;72; 6-0;175;1,8288;79,36507937
Isiah Thomas;73; 6-1;180;1,8542;81,63265306
Ivan Johnson;80; 6-8;230;2,032;104,30839
Ivan McFarlin;80; 6-8;240;2,032;108,8435374
Ivano Newbill;81; 6-9;245;2,0574;111,1111111
J.J. Anderson;80; 6-8;195;2,032;88,43537415
J.J. Hickson;81; 6-9;242;2,0574;109,7505669
J.J. Redick;76; 6-4;190;1,9304;86,16780045
J.R. Bremer;74; 6-2;185;1,8796;83,90022676
J.R. Giddens;77; 6-5;215;1,9558;97,50566893
J.R. Henderson;80; 6-8;226;2,032;102,4943311
J.R. Reid;81; 6-9;247;2,0574;112,0181406
J.R. Smith;78; 6-6;220;1,9812;99,77324263
JaJuan Johnson;82; 6-10;221;2,0828;100,2267574
JaVale McGee;84; 7-0;237;2,1336;107,4829932
Jabari Smith;83; 6-11;250;2,1082;113,3786848
Jack Coleman;79; 6-7;195;2,0066;88,43537415
