Name; Height (Inches); Height(Feet-Inches); Weight;Height(Meters);Weight(Kg)
Ed Horton;80; 6-8;230;2,032;104,30839
Ed Kalafat;78; 6-6;245;1,9812;111,1111111
Ed Macauley;80; 6-8;185;2,032;83,90022676
Ed Manning;79; 6-7;210;2,0066;95,23809524
Ed Nealy;79; 6-7;238;2,0066;107,9365079
Ed O'Bannon;80; 6-8;222;2,032;100,6802721
Ed Pinckney;81; 6-9;195;2,0574;88,43537415
Ed Rains;79; 6-7;190;2,0066;86,16780045
Ed Ratleff;78; 6-6;195;1,9812;88,43537415
Ed Searcy;78; 6-6;210;1,9812;95,23809524
Ed Sherod;74; 6-2;170;1,8796;77,09750567
Ed Stokes;84; 7-0;264;2,1336;119,7278912
Eddie Basden;77; 6-5;215;1,9558;97,50566893
Eddie Gill;72; 6-0;190;1,8288;86,16780045
Eddie Griffin;82; 6-10;220;2,0828;99,77324263
Eddie House;73; 6-1;180;1,8542;81,63265306
Eddie Hughes;70; 5-10;165;1,778;74,82993197
Eddie Johnson;74; 6-2;180;1,8796;81,63265306
Eddie Johnson;79; 6-7;215;2,0066;97,50566893
Eddie Jones;78; 6-6;190;1,9812;86,16780045
Eddie Jordan;73; 6-1;170;1,8542;77,09750567
Eddie Lee Wilkins;82; 6-10;220;2,0828;99,77324263
Eddie Mast;81; 6-9;220;2,0574;99,77324263
Eddie Miles;76; 6-4;195;1,9304;88,43537415
Eddie Owens;79; 6-7;210;2,0066;95,23809524
Eddie Phillips;79; 6-7;225;2,0066;102,0408163
Eddie Robinson;80; 6-8;210;2,032;95,23809524
Eddy Curry;84; 7-0;295;2,1336;133,7868481
Edgar Jones;82; 6-10;225;2,0828;102,0408163
Edmund Lawrence;84; 7-0;228;2,1336;103,4013605
Eduardo Najera;80; 6-8;240;2,032;108,8435374
Edwin Ubiles;78; 6-6;204;1,9812;92,5170068
Efthimi Rentzias;83; 6-11;250;2,1082;113,3786848
Ekpe Udoh;82; 6-10;240;2,0828;108,8435374
Elden Campbell;83; 6-11;215;2,1082;97,50566893
Eldridge Recasner;75; 6-3;190;1,905;86,16780045
Elgin Baylor;77; 6-5;225;1,9558;102,0408163
Elias Harris;80; 6-8;239;2,032;108,3900227
Elliot Perry;72; 6-0;150;1,8288;68,02721088
Elliot Williams;77; 6-5;180;1,9558;81,63265306
Elmer Bennett;72; 6-0;170;1,8288;77,09750567
Elmore Smith;84; 7-0;250;2,1336;113,3786848
Elmore Spencer;84; 7-0;270;2,1336;122,4489796
Elston Turner;77; 6-5;190;1,9558;86,16780045
Elton Brand;80; 6-8;275;2,032;124,7165533
Elvin Hayes;81; 6-9;235;2,0574;106,5759637
Em Bryant;73; 6-1;175;1,8542;79,36507937
Emanual Davis;76; 6-4;195;1,9304;88,43537415
Emeka Okafor;82; 6-10;252;2,0828;114,2857143
Enes Kanter;83; 6-11;262;2,1082;118,8208617
Ennis Whatley;75; 6-3;177;1,905;80,27210884
Eric Anderson;81; 6-9;220;2,0574;99,77324263
Eric Bledsoe;73; 6-1;190;1,8542;86,16780045
Eric Dawson;81; 6-9;250;2,0574;113,3786848
Eric Fernsten;82; 6-10;205;2,0828;92,97052154
Eric Gordon;76; 6-4;215;1,9304;97,50566893
Eric Johnson;74; 6-2;205;1,8796;92,97052154
Eric Leckner;83; 6-11;265;2,1082;120,1814059
Eric Maynor;75; 6-3;175;1,905;79,36507937
Eric McWilliams;80; 6-8;200;2,032;90,70294785
Eric Mobley;83; 6-11;235;2,1082;106,5759637
Eric Money;72; 6-0;170;1,8288;77,09750567
Eric Montross;84; 7-0;270;2,1336;122,4489796
Eric Murdock;73; 6-1;190;1,8542;86,16780045
Eric Piatkowski;79; 6-7;215;2,0066;97,50566893
Eric Riley;84; 7-0;245;2,1336;111,1111111
Eric Snow;75; 6-3;190;1,905;86,16780045
Eric Washington;76; 6-4;190;1,9304;86,16780045
Eric White;80; 6-8;200;2,032;90,70294785
Eric Williams;80; 6-8;220;2,032;99,77324263
Erick Barkley;73; 6-1;177;1,8542;80,27210884
Erick Dampier;83; 6-11;265;2,1082;120,1814059
Erick Strickland;75; 6-3;210;1,905;95,23809524
Erik Daniels;80; 6-8;214;2,032;97,0521542
Erik Murphy;82; 6-10;230;2,0828;104,30839
Ernest Brown;84; 7-0;244;2,1336;110,6575964
Ernie Barrett;75; 6-3;180;1,905;81,63265306
Ernie Beck;76; 6-4;190;1,9304;86,16780045
Ernie DiGregorio;72; 6-0;180;1,8288;81,63265306
Ernie Grunfeld;78; 6-6;210;1,9812;95,23809524
Ernie Vandeweghe;75; 6-3;195;1,905;88,43537415
Ersan Ilyasova;81; 6-9;235;2,0574;106,5759637
Ervin Johnson;83; 6-11;245;2,1082;111,1111111
Erwin Mueller;80; 6-8;230;2,032;104,30839
Essie Hollis;78; 6-6;195;1,9812;88,43537415
Esteban Batista;82; 6-10;270;2,0828;122,4489796
Etan Thomas;81; 6-9;256;2,0574;116,0997732
Etdrick Bohannon;81; 6-9;220;2,0574;99,77324263
Eugene Jeter;71; 5-11;175;1,8034;79,36507937
Evan Eschmeyer;83; 6-11;255;2,1082;115,6462585
Evan Fournier;78; 6-6;190;1,9812;86,16780045
Evan Turner;79; 6-7;205;2,0066;92,97052154
Everette Stephens;74; 6-2;175;1,8796;79,36507937
Evers Burns;80; 6-8;260;2,032;117,9138322
Evric Gray;79; 6-7;235;2,0066;106,5759637
Fab Melo;84; 7-0;255;2,1336;115,6462585
Fabricio Oberto;82; 6-10;245;2,0828;111,1111111
Fat Lever;75; 6-3;170;1,905;77,09750567
Fatty Taylor;72; 6-0;175;1,8288;79,36507937
Felipe Lopez;77; 6-5;199;1,9558;90,24943311
Felton Spencer;84; 7-0;265;2,1336;120,1814059
Fennis Dembo;77; 6-5;215;1,9558;97,50566893
Fernando Martin;81; 6-9;220;2,0574;99,77324263
Festus Ezeli;83; 6-11;255;2,1082;115,6462585
Flynn Robinson;73; 6-1;185;1,8542;83,90022676
Foots Walker;72; 6-0;172;1,8288;78,00453515
Forest Able;75; 6-3;180;1,905;81,63265306
Forrest McKenzie;79; 6-7;200;2,0066;90,70294785
Francisco Elson;84; 7-0;235;2,1336;106,5759637
Francisco Garcia;79; 6-7;195;2,0066;88,43537415
Frank Brickowski;81; 6-9;240;2,0574;108,8435374
Frank Johnson;73; 6-1;185;1,8542;83,90022676
Frank Kendrick;78; 6-6;198;1,9812;89,79591837
Frank Kornet;81; 6-9;225;2,0574;102,0408163
Frank Oleynick;74; 6-2;185;1,8796;83,90022676
Frank Radovich;80; 6-8;235;2,032;106,5759637
Frank Ramsey;75; 6-3;190;1,905;86,16780045
Frank Russell;75; 6-3;180;1,905;81,63265306
Frank Schade;73; 6-1;170;1,8542;77,09750567
Frank Selvy;75; 6-3;180;1,905;81,63265306
Frank Williams;75; 6-3;212;1,905;96,14512472
Frankie Brian;73; 6-1;180;1,8542;81,63265306
Frankie King;73; 6-1;185;1,8542;83,90022676
Frankie Sanders;78; 6-6;200;1,9812;90,70294785
Franklin Edwards;73; 6-1;170;1,8542;77,09750567
Fred Brown;75; 6-3;182;1,905;82,53968254
Fred Carter;75; 6-3;185;1,905;83,90022676
Fred Christ;76; 6-4;210;1,9304;95,23809524
Fred Cofield;75; 6-3;190;1,905;86,16780045
Fred Diute;75; 6-3;210;1,905;95,23809524
Fred Foster;77; 6-5;210;1,9558;95,23809524
Fred Hetzel;80; 6-8;220;2,032;99,77324263
Fred Hilton;75; 6-3;185;1,905;83,90022676
Fred Hoiberg;76; 6-4;203;1,9304;92,06349206
Fred Jones;76; 6-4;210;1,9304;95,23809524
Fred LaCour;77; 6-5;210;1,9558;95,23809524
Fred Roberts;82; 6-10;218;2,0828;98,86621315
Fred Saunders;79; 6-7;210;2,0066;95,23809524
Fred Scolari;70; 5-10;180;1,778;81,63265306
Fred Taylor;77; 6-5;180;1,9558;81,63265306
Fred Vinson;76; 6-4;190;1,9304;86,16780045
